text,amount_correct,category_correct,type_correct,confidence,model_confidence,final_category,gold_category
5 reais num pastel,True,True,True,1.0,0.782,Comida,Comida
13 reais em uber de casa para shopping,True,True,True,1.0,0.871,Transporte,Transporte
50 reais no jantar bodega rainha,True,True,True,1.0,0.759,Comida,Comida
Depósito salário 3500,True,True,True,1.0,0.921,Salário,Salário
Paguei R$ 40 no posto de gasolina,True,True,True,1.0,0.912,Transporte,Transporte
"Gastei R$ 23,50 no mercado",True,False,True,0.99,0.722,Comida,Mercado
200 reais na farmácia,True,True,True,1.0,0.748,Saúde,Saúde
R$150 consulta médica,True,True,True,1.0,0.955,Saúde,Saúde
"Paguei 1.500,00 de aluguel",True,True,True,1.0,0.691,Moradia,Moradia
85 rs no cinema ontem,True,True,True,1.0,0.93,Lazer,Lazer
Transferi R$ 500 para minha mãe,True,True,True,0.97,0.933,Outros,Outros
Pix de 100 reais pro João,True,True,True,0.95,0.882,Outros,Outros
Recebi R$ 2500 freelance,True,True,True,1.0,0.909,Salário,Salário
Salário 4200,True,True,True,1.0,0.954,Salário,Salário
30 reais na padaria,True,True,True,1.0,0.701,Comida,Comida
Gastei 45 reais em livros,True,True,True,1.0,0.808,Educação,Educação
20 reais para o ônibus,True,True,True,1.0,0.676,Transporte,Transporte
Comi um hamburguer por 25 reais,True,True,True,1.0,0.619,Comida,Comida
Gastei R$ 80 na fhamacia,True,True,True,0.92,0.557,Saúde,Saúde
Compras do mês R$ 680 no Extra,True,True,True,1.0,0.88,Mercado,Mercado
120 reais supermercado Pão de Açúcar,True,True,True,1.0,0.953,Mercado,Mercado
"Netflix R$ 29,90 mensal",True,True,True,1.0,0.896,Lazer,Lazer
"Spotify premium 16,90",True,True,True,1.0,0.904,Lazer,Lazer
"Cerveja 12,50 no bar",True,True,True,1.0,0.833,Lazer,Lazer
Doação de 50 reais,True,True,True,0.87,0.676,Outros,Outros
Cortei o cabelo 35 reais,True,True,True,0.83,0.576,Outros,Outros
Curso online R$199,True,True,True,1.0,0.936,Educação,Educação
Remédio na drogaria 89 reais,True,True,True,1.0,0.818,Saúde,Saúde
"Pizza delivery 42,90",True,True,True,1.0,0.936,Comida,Comida
Táxi pro aeroporto R$ 65,True,True,True,0.67,0.678,Transporte,Transporte
"Exame laboratorial 180,00",True,True,True,1.0,0.643,Saúde,Saúde
Gasolina posto Shell 120,True,True,True,1.0,0.897,Transporte,Transporte
"Jantar romântico R$ 95,50",True,True,True,1.0,0.912,Comida,Comida
Paguei a conta de luz 230 reais,True,True,True,1.0,0.93,Moradia,Moradia
"Internet 89,90 por mês",True,True,True,1.0,0.658,Moradia,Moradia
Comprei tênis R$ 180 na loja,True,True,True,0.85,0.628,Outros,Outros
Vendeu bicicleta por 450,True,True,True,0.94,0.846,Outros,Outros
"Academia mensal 79,90",True,True,True,1.0,0.617,Saúde,Saúde
Manutenção do carro R$ 350,True,True,True,1.0,0.526,Transporte,Transporte
"Lanche na cantina 15,50",True,True,True,1.0,0.858,Comida,Comida
Ingresso teatro 60 reais,True,True,True,1.0,0.922,Lazer,Lazer
Empréstimo recebido 800 reais,True,True,True,0.96,0.898,Outros,Outros
Material escolar R$ 120,True,True,True,1.0,0.937,Educação,Educação
Bonificação 13/10 1200,True,True,True,1.0,0.445,Salário,Salário
Serviço de limpeza 100 reais,True,True,True,1.0,0.924,Moradia,Moradia
Dentista particular R$ 280,True,True,True,1.0,0.792,Saúde,Saúde
"Convênio médico 450,90",True,False,True,0.85,0.373,Outros,Saúde
Estacionamento shopping 8 reais,True,True,True,1.0,0.856,Transporte,Transporte
"Cashback R$ 25,80",True,True,True,0.94,0.852,Outros,Outros
Comprei um café hoje,True,True,True,0.78,0.707,Comida,Comida
Pagamento pendente,True,True,True,0.42,0.543,Outros,Outros
"6,5 num misto quente em Helio",True,True,True,0.65,0.626,Comida,Comida
15 reais em uma caipirinha na praia,True,True,True,0.66,0.656,Lazer,Lazer
10 reais no paceio de barco,True,True,True,1.0,0.852,Lazer,Lazer
30 reais paceio de caiaque,True,True,True,0.68,0.69,Lazer,Lazer
80 reais num protetor solar,True,True,True,0.68,0.688,Saúde,Saúde
66 reais da internet,True,True,True,1.0,0.729,Moradia,Moradia
2 reais numa bolacha,True,True,True,0.65,0.627,Comida,Comida
