text,gold_category,pred_category,pred_prob
5 reais num pastel,Comida,Comida,0.7821284125543104
13 reais em uber de casa para shopping,Transporte,Transporte,0.8714429074376951
50 reais no jantar bodega rainha,Comida,Comida,0.7588104156138228
Depósito salário 3500,Salário,Salário,0.9205497621040178
Paguei R$ 40 no posto de gasolina,Transporte,Transporte,0.911896120740204
"Gastei R$ 23,50 no mercado",Mercado,Comida,0.7219007156779192
200 reais na farmácia,Saúde,Saúde,0.7481951255790699
R$150 consulta médica,Saúde,Saúde,0.9546392595708664
"Paguei 1.500,00 de aluguel",Moradia,Moradia,0.6914355797485424
85 rs no cinema ontem,Lazer,Lazer,0.9302058859934964
Transferi R$ 500 para minha mãe,Outros,Outros,0.9331901454129371
Pix de 100 reais pro João,Outros,Outros,0.8819544613250322
Recebi R$ 2500 freelance,Salário,Salário,0.9088538234570902
Salário 4200,Salário,Salário,0.95367934106844
30 reais na padaria,Comida,Comida,0.7011044582621397
Gastei 45 reais em livros,Educação,Educação,0.8081949920167407
20 reais para o ônibus,Transporte,Transporte,0.676174743054626
Comi um hamburguer por 25 reais,Comida,Comida,0.6189624231039019
Gastei R$ 80 na fhamacia,Saúde,Saúde,0.5568837176117817
Compras do mês R$ 680 no Extra,Mercado,Mercado,0.8797242655955838
120 reais supermercado Pão de Açúcar,Mercado,Mercado,0.9533381938476677
"Netflix R$ 29,90 mensal",Lazer,Lazer,0.8958092606318996
"Spotify premium 16,90",Lazer,Lazer,0.9042757006824634
"Cerveja 12,50 no bar",Lazer,Lazer,0.8326982624083087
Doação de 50 reais,Outros,Outros,0.6756357170040096
Cortei o cabelo 35 reais,Outros,Outros,0.5764841231865893
Curso online R$199,Educação,Educação,0.9355037954671985
Remédio na drogaria 89 reais,Saúde,Saúde,0.8181301352858306
"Pizza delivery 42,90",Comida,Comida,0.935536809985792
Táxi pro aeroporto R$ 65,Transporte,Transporte,0.6780559156209334
"Exame laboratorial 180,00",Saúde,Saúde,0.6433338827773954
Gasolina posto Shell 120,Transporte,Transporte,0.8966269168044315
"Jantar romântico R$ 95,50",Comida,Comida,0.9122396872274322
Paguei a conta de luz 230 reais,Moradia,Moradia,0.9300116312170236
"Internet 89,90 por mês",Moradia,Moradia,0.6584721717570262
Comprei tênis R$ 180 na loja,Outros,Outros,0.6279409928595028
Vendeu bicicleta por 450,Outros,Outros,0.8461266243930298
"Academia mensal 79,90",Saúde,Saúde,0.6170231383705426
Manutenção do carro R$ 350,Transporte,Transporte,0.5263848147062249
"Lanche na cantina 15,50",Comida,Comida,0.8578117109592829
Ingresso teatro 60 reais,Lazer,Lazer,0.9218417400225695
Empréstimo recebido 800 reais,Outros,Outros,0.8978220060491671
Material escolar R$ 120,Educação,Educação,0.9371410817158147
Bonificação 13/10 1200,Salário,Salário,0.44542327692976746
Serviço de limpeza 100 reais,Moradia,Moradia,0.9242005011246479
Dentista particular R$ 280,Saúde,Saúde,0.7923577001954797
"Convênio médico 450,90",Saúde,Outros,0.3733296758911295
Estacionamento shopping 8 reais,Transporte,Transporte,0.8563635561005021
"Cashback R$ 25,80",Outros,Outros,0.8521051566238116
Comprei um café hoje,Comida,Comida,0.7071493304146146
Pagamento pendente,Outros,Outros,0.542828015991084
"6,5 num misto quente em Helio",Comida,Comida,0.6262244529696314
15 reais em uma caipirinha na praia,Lazer,Lazer,0.6562738649950345
10 reais no paceio de barco,Lazer,Lazer,0.852102167928202
30 reais paceio de caiaque,Lazer,Lazer,0.6901637843177643
80 reais num protetor solar,Saúde,Saúde,0.6880226047473635
66 reais da internet,Moradia,Moradia,0.7288131471774312
2 reais numa bolacha,Comida,Comida,0.6273401930326807
10 reais no pix pra mãe,Outros,Outros,0.6587323002522015
700 reais na viagem fortaleza,Lazer,Lazer,0.7487947592337362
183 reais para o evento BRACIS,Lazer,Lazer,0.5900332579147364
"R$ 7,50 no pão francês",Comida,Comida,0.5962425128182541
Depósito 1200 para conta poupança,Outros,Outros,0.8964821529630226
Trabalhei e recebi 600 de freelancer,Salário,Salário,0.6537681622246905
"R$ 3.200,00 salário 01/07/2025",Salário,Salário,0.8738256892954374
"Comprei 3 latas de cerveja 27,30",Lazer,Lazer,0.7407699341822523
"Pedi delivery ifood 49,90",Comida,Comida,0.9126349409749334
