text,amount_correct,category_correct,place_correct,type_correct,confidence
5 reais num pastel,True,True,True,True,0.7
13 reais em uber de casa para shopping,True,True,True,True,0.9
50 reais no jantar bodega rainha,True,True,False,True,0.9
Depósito salário 02/09 3500,True,True,True,True,0.8
Paguei R$ 40 no posto de gasolina,True,True,False,True,0.9
"Gastei R$ 23,50 no mercado",True,True,True,True,0.9
200 reais na farmácia,True,True,True,True,0.9
R$150 consulta médica,True,True,True,True,0.7
"Paguei 1.500,00 de aluguel",True,True,True,True,0.7
85 rs no cinema ontem,True,True,True,True,1.0
Transferi R$ 500 para minha mãe,True,True,True,True,0.4
Pix de 100 reais pro João,True,True,True,True,0.4
Recebi R$ 2500 freelance,False,True,True,True,0.7
Salário 15/09 4200,True,True,True,True,0.8
30 reais na padaria,True,True,True,True,0.9
Gastei 45 reais em livros,True,False,False,True,0.9
20 reais para o ônibus,True,True,True,True,0.7
Comi um hamburguer por 25 reais,True,True,True,True,0.7
Gastei R$ 80 na fhamacia,True,False,True,True,0.9
Compras do mês R$ 680 no Extra,True,True,False,True,0.9
120 reais supermercado Pão de Açúcar,True,True,False,True,0.9
"Netflix R$ 29,90 mensal",True,True,False,True,0.7
"Spotify premium 16,90",True,True,False,True,0.7
"Cerveja 12,50 no bar",True,True,True,True,0.9
Doação de 50 reais,True,True,True,True,0.4
Cortei o cabelo 35 reais,True,True,True,True,0.4
Curso online R$199,True,False,True,True,0.7
Remédio na drogaria 89 reais,True,True,True,True,0.9
"Pizza delivery 42,90",True,True,True,True,0.7
Táxi pro aeroporto R$ 65,True,False,True,True,0.4
"Exame laboratorial 180,00",True,True,True,True,0.7
Gasolina posto Shell 120,True,True,False,True,0.9
"Jantar romântico R$ 95,50",True,True,True,True,0.7
Paguei a conta de luz 230 reais,True,True,True,True,0.7
"Internet 89,90 por mês",True,True,True,True,0.7
Comprei tênis R$ 180 na loja,True,True,True,True,0.6
Vendeu bicicleta por 450,True,True,True,True,0.4
"Academia mensal 79,90",True,True,True,True,0.7
Manutenção do carro R$ 350,True,True,False,True,0.9
"Lanche na cantina 15,50",True,True,True,True,0.9
Ingresso teatro 60 reais,True,True,True,True,0.7
Empréstimo recebido 800 reais,True,True,False,True,0.6
Material escolar R$ 120,True,True,True,True,0.7
Bonificação 13/10 1200,True,True,True,True,0.8
Serviço de limpeza 100 reais,True,True,True,True,0.7
Dentista particular R$ 280,True,True,True,True,0.7
"Convênio médico 450,90 mensal",True,True,True,True,0.7
Estacionamento shopping 8 reais,True,True,False,True,0.7
"Cashback R$ 25,80",True,True,True,True,0.4
Comprei um café hoje,True,True,True,True,0.4
Pagamento pendente,True,True,True,True,0.3
